Size,Time,C
10000,8.7711115,0
10000,8.242222,3
10000,8.295555,6
10000,8.215555,9
10000,8.446667,12
10000,8.755555,15
10000,8.697778,18
10000,8.611111,21
10000,9.004444,24
10000,8.828889,27
10000,8.755555,30
10000,8.48,33
10000,8.8,36
10000,8.597777,39
10000,8.264444,42
10000,8.304444,45
10000,8.528889,48
10000,8.393333,51
10000,8.915556,54
10000,8.624444,57
10000,8.824445,60
10000,9.382222,63
10000,9.0622225,66
10000,8.544444,69
10000,8.402223,72
10000,8.368889,75
10000,8.335556,78
10000,8.306666,81
10000,8.286667,84
10000,8.328889,87
10000,8.297778,90
10000,8.268888,93
10000,8.491111,96
10000,8.266666,99
10000,8.268888,102
10000,8.277778,105
10000,8.253333,108
10000,8.257778,111
10000,8.288889,114
10000,8.502222,117
10000,9.093333,120
10000,9.54,123
10000,8.942223,126
10000,8.713333,129
10000,9.486667,132
10000,9.557777,135
10000,9.04,138
10000,9.046667,141
10000,8.971111,144
10000,8.493333,147
10000,8.486667,150
10000,8.677778,153
10000,8.64,156
10000,8.713333,159
10000,8.462222,162
10000,8.7711115,165
10000,8.42,168
10000,8.331111,171
10000,8.635555,174
10000,8.982223,177
10000,8.935555,180
10000,9.095555,183
10000,8.773334,186
10000,9.12,189
10000,9.055555,192
10000,9.155556,195
10000,9.06,198
10000,8.655556,201
10000,8.246667,204
10000,8.237778,207
10000,8.244445,210
10000,8.613334,213
10000,8.251111,216
10000,8.324445,219
10000,8.233334,222
10000,8.262222,225
10000,8.224444,228
10000,8.257778,231
10000,8.242222,234
10000,8.2288885,237
10000,8.246667,240
10000,8.248889,243
10000,8.235556,246
10000,8.2288885,249
10000,8.242222,252
10000,8.233334,255
10000,8.224444,258
10000,8.24,261
10000,8.226666,264
10000,8.233334,267
10000,8.233334,270
10000,8.293333,273
10000,8.255555,276
10000,8.504444,279
10000,8.706667,282
10000,8.628889,285
10000,8.711111,288
10000,8.913333,291
10000,8.362223,294
10000,8.631111,297
10000,8.88,300